,Half scale,Double scale,Base scale,Policy
298,63000.0,69822.24500000002,60000.0,ELOP
299,77692.83749999979,63349.442499999976,66000.0,ELOP
300,66000.0,64369.850000000006,68892.08999999997,ELOP
301,63000.0,65619.85,72000.0,ELOP
302,63196.42749999999,64244.95249999999,66177.59749999997,ELOP
303,78000.0,75826.435,69209.89749999996,ELOP
304,64436.58250000002,63084.13500000001,63000.0,ELOP
305,63174.4850000001,63007.60500000001,63000.0,ELOP
306,63000.0,59999.99999999999,60000.0,ELOP
307,76471.43499999994,69831.53749999998,63760.107499999984,ELOP
308,63130.87,69393.00499999998,70120.20750000008,ELOP
309,63000.0,72762.09500000006,70563.61249999987,ELOP
310,63000.0,72192.54749999996,66000.0,ELOP
311,69704.1875,62997.755000000005,65241.027500000026,ELOP
312,63000.0,65999.23500000002,63000.0,ELOP
313,63000.0,60000.0,65340.86500000005,ELOP
314,65937.65000000002,69216.99000000002,61311.015000000014,ELOP
315,69419.28499999992,63000.0,60000.0,ELOP
316,65870.40500000003,63000.0,66000.00000000006,ELOP
317,66092.44499999983,62998.827500000014,78033.26750000007,ELOP
318,66000.0,63000.0,65972.35000000003,ELOP
319,68998.26500000001,69498.20749999996,62999.99999999994,ELOP
320,65999.99999999988,63000.0,60603.52250000008,ELOP
321,66000.0,62999.3375,66000.0,ELOP
322,66000.0,60000.0,66000.0,ELOP
323,66097.6599999998,65999.99999999997,60000.00000000006,ELOP
324,64024.44250000012,69216.6825,64571.78999999992,ELOP
325,64592.34999999986,72596.78000000003,74081.84250000003,ELOP
326,63211.177499999874,72193.57000000007,62998.827500000014,ELOP
327,63000.0,63193.00749999998,77851.66249999974,ELOP
328,63000.0,66194.53750000003,62846.6275,ELOP
329,63000.0,60000.0,65344.84999999998,ELOP
330,63198.62000000011,69000.0,65966.9425,ELOP
331,74224.16749999998,63000.00000000003,60000.0,ELOP
332,63000.0,62999.59250000006,66110.45500000019,ELOP
333,62999.59250000003,63198.62000000005,69656.73500000022,ELOP
334,63000.0,62999.99999999997,63198.62,ELOP
335,76812.60499999998,69302.76500000001,80362.55249999999,ELOP
336,63000.0,63174.48499999999,63000.0,ELOP
337,63208.82499999995,63197.08999999997,63000.0,ELOP
338,63000.0,60000.0,63000.0,ELOP
339,70824.64749999996,66000.0,71526.51500000001,ELOP
340,63202.34499999997,68892.08999999997,66000.0,ELOP
341,63000.0,72000.0,69000.0,ELOP
342,60101.63500000001,72200.20250000001,63000.0,ELOP
343,69413.82500000019,63000.0,75791.4325,ELOP
344,63000.0,66202.59999999998,61658.47250000003,ELOP
345,71582.07250000001,60000.0,62999.59250000003,ELOP
346,61801.62750000018,64266.74249999999,63000.0,ELOP
347,69000.0,62999.642500000016,70115.82000000007,ELOP
348,63000.0,63208.82500000001,65319.90000000002,ELOP
349,81000.0,63000.0,68737.04499999993,ELOP
350,63000.0,60351.890000000014,62861.63500000001,ELOP
351,66376.74249999993,69209.89749999996,71998.01000000001,ELOP
352,71734.32499999972,63000.0,60000.0,ELOP
353,77733.47249999992,63000.0,63208.82499999995,ELOP
354,62703.47250000015,60000.0,63000.0,ELOP
355,63202.55000000028,63760.107499999984,68238.26749999996,ELOP
356,70153.31999999983,70120.20750000008,62997.755000000005,ELOP
357,72553.52249999996,70556.05999999988,63871.37750000006,ELOP
358,60000.0,69513.93000000005,60000.0,ELOP
359,63000.0,64793.36249999999,72388.25999999978,ELOP
360,68275.76750000007,65107.044999999984,60000.0,ELOP
361,72190.8125,60000.0,63000.0,ELOP
362,60000.0,63202.54999999999,62999.64250000008,ELOP
363,63811.47500000009,63202.702500000014,65999.23499999987,ELOP
364,65999.2350000001,63000.0,63193.00749999983,ELOP
365,72193.87749999994,63636.47500000004,63095.87,ELOP
366,60000.0,69064.47500000003,62844.47500000009,ELOP
367,66000.0,65241.027500000026,71996.42999999993,ELOP
368,66194.5375000001,63000.0,60000.0,ELOP
369,71493.06000000006,74099.21750000003,66324.06500000006,ELOP
370,60000.0,61999.577500000014,63202.702500000014,ELOP
371,66000.0,60000.0,66194.5375000001,ELOP
372,66202.6000000001,66000.00000000006,63000.0,ELOP
373,67880.20750000002,78000.0,63000.0,ELOP
374,60000.0,66102.70750000002,72000.0,ELOP
375,64617.40000000014,66000.0,70448.05999999959,ELOP
